char,dialog,movie
SAM,    Mr Frodo What is it  ,The Return of the King 
FRODO,    Its been four years to the day since Weathertop Sam Its never really     healed  ,The Return of the King 
SAM,     There and Back Again a Hobbits tale     by Bilbo Baggins and the Lord of the Rings by Frodo Baggins You finished     it ,The Return of the King 
FRODO,    Not quite Theres room for a little more  ,The Return of the King 
FRODO,    Bilbo once told me his part in this tale would end That each of us must     come and go in the telling Bilbos story was now over There would be no     more journeys for him  save one  ,The Return of the King 
BILBO,    Tell me again lad where are we going ,The Return of the King 
FRODO,    To the harbour Bilbo The elves have accorded you a special honour A place     on the last ship to leave Middle Earth  ,The Return of the King 
BILBO,    Frodo any chance of seeing that old Ring of mine again The one I gave you ,The Return of the King 
PIPPIN, We are sitting on a field of     victory enjoying a few well earned comforts  The salted pork is particularly good  ,The Return of the King 
GIMLI,Salted pork  ,The Return of the King 
GANDALF,Hobbits  ,The Return of the King 
MERRY,Were under orders from Treebeard whos taken over management of Isengard        ,The Return of the King 
TREEBEARD,Hoooom young master Gandalf Im glad youve come Wood and water     stock and stone I can master but there is a Wizard to manage here locked in     his tower ,The Return of the King 
ARAGORN,  Show yourself     ,The Return of the King 
GANDALF,Be careful Even in defeat Saruman is dangerous  ,The Return of the King 
GIMLI,Well then lets just have his head and be done with it  ,The Return of the King 
GANDALF,No we need him alive We need him to talk  ,The Return of the King 
SARUMAN,You have fought many wars and slain many men Theoden King and made peace afterwards Can we not take counsel together as we once did my old friendCan we not have peace you and I ,The Return of the King 
THEODEN,We shall have peace We shall have peace when you answer for the     burning of the Westfold and the children that lie dead there We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg are avenged When you hang from a gibbet for the sport of your own crows we shall have peace  ,The Return of the King 
SARUMAN,Gibbets and crows Dotard What do you want Gandalf Grahame Let me guess the key of Orthanc Or perhaps the keys of Barad Dr itself Along with the crowns of the seven Kings and the rods of the Five Wizards  ,The Return of the King 
GANDALF,Your treachery has already cost many lives Thousands more are now at     risk But you could save them Saruman You were deep in the enemys counsel     ,The Return of the King 
FRODO,    Im sorry uncle Im afraid I lost it  ,The Return of the King 
BILBO,    Oh pity  I would have like to have held it one last time  ,The Return of the King 
BILBO,    Oh Well here is a sight I have never seen before  ,The Return of the King 
GALADRIL,    The power of the three rings is ended The time has come for the dominion of     men  ,The Return of the King 
ELROND,     I Aear cn ven na mar  ,The Return of the King 
BILBO,    I think Im quite ready for another adventure  ,The Return of the King 
GANDALF,    Farewell my brave Hobbits  My work is now finished    Here at last on the     shores of the sea comes the end of our Fellowship  I will not say do not weep for not all     tears are an evil  It is time Frodo     ,The Return of the King 
SAM,    What does he mean  ,The Return of the King 
FRODO,    We set out to save the Shire Sam and it has been saved but not for me  ,The Return of the King 
SAM,     You dont mean that You cant     leave ,The Return of the King 
FRODO,    The last pages are for you Sam  ,The Return of the King 
SARUMAN,So you have come here for information I have some for you    Something festers in the heart of Middle Earth Something that you have failed to see But the great eye has seen it Even now he presses his advantage His attack will come soon          You are all going to die But you know this dont you Gandalf You cannot think that this Ranger will ever sit upon the throne of Gondor This exile crept from the shadows will never be crowned King Gandalf does not hesitate to sacrifice those who are closest to him those he professes to love Tell me what words of comfort did you give the Halfling before you sent him to his doom The path that you have set him on can only lead to death  ,The Return of the King 
GIMLI,Ive heard enough Shoot him Stick an arrow in his gob  ,The Return of the King 
GANDALF,No Come down Saruman and your life will be spared  ,The Return of the King 
SARUMAN,Save your pity and your mercy I have no use for it    ,The Return of the King 
GANDALF,Saruman your staff is broken  ,The Return of the King 
THEODEN,Grima You need not follow him You were not always as you are now You were once a man of Rohan Come down  ,The Return of the King 
